CountyName,StateName,FIPS,City,Metro,lat,lng,Year,BasePrice,HouseValue,prev_HouseValue,increase_base_pct,annual_increase,Rank_Annual,annual_value_category,Personal_Income_Raise,Population_Raise,Percapita_Income_Raise
ALBANY,NY,36001.0,Cohoes,"Albany-Schenectady-Troy, NY",42.59987237,-73.97341306,2022,214807.0,278842.0,279183.0,30.0,-0.0,699.5,No Increase,9.4,0.7,8.7
ALBANY,NY,36001.0,Cohoes,"Albany-Schenectady-Troy, NY",42.59987237,-73.97341306,2023,214807.0,313035.0,278842.0,46.0,12.0,21.5,Above 12 Percent,0.4,-0.1,0.5
ALBANY,NY,36001.0,Cohoes,"Albany-Schenectady-Troy, NY",42.59987237,-73.97341306,2024,214807.0,316405.0,313035.0,47.0,1.0,434.5,1 Percent Increase,6.6,0.2,6.4
ALBEMARLE,VA,,Charlottesville,"Charlottesville, VA",38.02273165,-78.55661903,2020,207061.5,218938.5,207061.5,6.0,6.0,487.0,Above 5 Percent,,,
ALBEMARLE,VA,,Charlottesville,"Charlottesville, VA",38.02273165,-78.55661903,2021,207061.5,245596.5,218938.5,19.0,12.0,580.5,Above 12 Percent,,,
ALBEMARLE,VA,,Charlottesville,"Charlottesville, VA",38.02273165,-78.55661903,2022,207061.5,267235.75,245596.5,29.0,9.0,367.5,Above 8 Percent,,,
ALBEMARLE,VA,,Charlottesville,"Charlottesville, VA",38.02273165,-78.55661903,2023,207061.5,277265.5,267235.75,34.0,4.0,352.5,Above 3 Percent,,,
ALBEMARLE,VA,,Charlottesville,"Charlottesville, VA",38.02273165,-78.55661903,2024,207061.5,288024.25,277265.5,39.0,4.0,207.5,Above 3 Percent,,,
ALLEGAN,MI,,Holland,"Holland, MI",42.59147142,-85.88845897,2020,254261.0,269697.5,254261.0,6.0,6.0,487.0,Above 5 Percent,,,
ALLEGAN,MI,,Holland,"Holland, MI",42.59147142,-85.88845897,2021,254261.0,324571.5,269697.5,28.0,20.0,275.5,Above 15 Percent,,,
ALLEGAN,MI,26005.0,Holland,"Holland, MI",42.59147142,-85.88845897,2022,254261.0,346353.0,324571.5,36.0,7.0,492.5,Above 5 Percent,9.2,0.3,8.8
ALLEGAN,MI,26005.0,Holland,"Holland, MI",42.59147142,-85.88845897,2023,254261.0,356280.0,346353.0,40.0,3.0,420.0,Above 3 Percent,1.4,0.2,1.2
ALLEGAN,MI,26005.0,Holland,"Holland, MI",42.59147142,-85.88845897,2024,254261.0,377988.0,356280.0,49.0,6.0,78.0,Above 5 Percent,5.7,0.5,5.2
ALLEGHENY,PA,,Wexford,"Pittsburgh, PA",40.46880438,-79.9817588,2020,194340.73170731709,207566.24390243902,194340.73170731709,7.0,7.0,404.5,Above 5 Percent,,,
ALLEGHENY,PA,,Wexford,"Pittsburgh, PA",40.46880438,-79.9817588,2021,194340.73170731709,230608.0487804878,207566.24390243902,19.0,11.0,615.5,Above 10 Percent,,,
ALLEGHENY,PA,42003.0,Wexford,"Pittsburgh, PA",40.46880438,-79.9817588,2022,194340.73170731709,237588.70731707316,230608.0487804878,22.0,3.0,658.5,Above 3 Percent,4.9,-0.3,5.3
ALLEGHENY,PA,42003.0,Wexford,"Pittsburgh, PA",40.46880438,-79.9817588,2023,194340.73170731709,247377.75609756098,237588.70731707316,27.0,4.0,352.5,Above 3 Percent,1.8,-1.0,2.8
ALLEGHENY,PA,42003.0,Wexford,"Pittsburgh, PA",40.46880438,-79.9817588,2024,194340.73170731709,250819.75609756098,247377.75609756098,29.0,1.0,434.5,1 Percent Increase,5.1,-0.6,5.8
ALLEN,IN,,Fort Wayne,"Fort Wayne, IN",41.0912565,-85.06652248,2020,151913.75,164062.75,151913.75,8.0,8.0,315.0,Above 8 Percent,,,
ALLEN,IN,,Fort Wayne,"Fort Wayne, IN",41.0912565,-85.06652248,2021,151913.75,189598.0,164062.75,25.0,16.0,412.5,Above 15 Percent,,,
ALLEN,IN,18003.0,Fort Wayne,"Fort Wayne, IN",41.0912565,-85.06652248,2022,151913.75,205291.0,189598.0,35.0,8.0,428.0,Above 8 Percent,13.0,0.8,12.1
ALLEN,IN,18003.0,Fort Wayne,"Fort Wayne, IN",41.0912565,-85.06652248,2023,151913.75,217595.0,205291.0,43.0,6.0,221.0,Above 5 Percent,4.6,0.6,3.9
ALLEN,IN,18003.0,Fort Wayne,"Fort Wayne, IN",41.0912565,-85.06652248,2024,151913.75,224659.25,217595.0,48.0,3.0,284.0,Above 3 Percent,4.5,0.7,3.7
ALLEN,OH,,Lima,"Lima, OH",40.77151716,-84.10584177,2020,129109.33333333333,133416.33333333334,129109.33333333333,3.0,3.0,645.5,Above 3 Percent,,,
ALLEN,OH,,Lima,"Lima, OH",40.77151716,-84.10584177,2021,129109.33333333333,152845.33333333334,133416.33333333334,18.0,15.0,449.5,No Increase,,,
ALLEN,OH,39003.0,Lima,"Lima, OH",40.77151716,-84.10584177,2022,129109.33333333333,163530.66666666666,152845.33333333334,27.0,7.0,492.5,Above 5 Percent,6.7,-0.3,7.0
